発売日,出版社,シリーズ名・書名,著者,予価,
7,秋田書店,少年チャンピオン・コミックス声がだせない少女は「彼女が優しすぎる」と思っている（10）,矢村いち,726,
7,秋田書店,少年チャンピオン・コミックス気絶勇者と暗殺姫（１）,のりしろちゃん／雪田幸路,550,
7,秋田書店,少年チャンピオン・コミックスチキン　「ドロップ」前夜の物語（38）,井口達也／歳脇将幸,550,
7,秋田書店,少年チャンピオン・コミックス弱虫ペダル（83）,渡辺航,561,
7,秋田書店,少年チャンピオン・コミックス「弱虫ペダル」公式アンソロジー　放課後ペダル　ハイケイデンス,渡辺航／プリンセス編集部,800,
7,秋田書店,少年チャンピオン・コミックスルパン三世　異世界の姫君（６）,モンキー・パンチ／エム・ピー・ワークス／内々けやきほか,550,
7,秋田書店,少年チャンピオン・コミックスもういっぽん！（23）,村岡ユウ,550,
7,秋田書店,少年チャンピオン・コミックスクワトロバッテリー（10）,高嶋栄充,550,
7,秋田書店,少年チャンピオン・コミックスSANDA（８）,板垣巴留,550,
7,秋田書店,少年チャンピオン・コミックスあつまれ！ふしぎ研究部（16）,安部真弘,550,
7,秋田書店,少年チャンピオン・コミックス桃源暗鬼（14）,漆原侑来,561,
7,秋田書店,少年チャンピオン・コミックスGranFamilia（４）,濱田賢治,550,
7,秋田書店,少年チャンピオン・コミックス天災狩り（２）,荒井春太郎,528,
7,秋田書店,少年チャンピオン・コミックス金四郎の妻ですが（２）,神楽坂淳／迫ミサキ,726,
7,秋田書店,少年チャンピオン・コミックスほどいて、むすんで（１）,森宮正幸,726,
7,秋田書店,少年チャンピオン・コミックスサイコ×パスト　猟奇殺人潜入捜査（４）,本田真吾,726,
7,秋田書店,少年チャンピオン・コミックス・エクストラ聖闘士星矢　NEXT DIMENSION 冥王神話（14）,車田正美,1100,
14,秋田書店,A.L.C.DXやさしいミルク（１）,高田ローズ,748,
14,秋田書店,プリンセス・コミックス薔薇王の葬列　王妃と薔薇の騎士（２）,菅野文,550,
14,秋田書店,プリンセス・コミックス妖精国の騎士　Ballad ～継ぐ視の守護者～（５）,中山星香,693,
14,秋田書店,プリンセス・コミックス悪役令嬢ですが、元下僕の獣人にフラグ回収されてます！？（３）,夜田あかり,693,
14,秋田書店,プリンセス・コミックス亡国のマルグリット（11）,すもももも,693,
14,秋田書店,プリンセス・コミックス　プチプリ僭越ながら、皇帝（候補）を教育します　ただし、後宮入りはいたしません（２・完完）,秋月志緒／霜月星良,693,
14,秋田書店,プリンセス・コミックスDX カチCOMIディアマイマスター　～Dom/Sub universe～（上）,ハシモトミツ,726,
14,秋田書店,プリンセス・コミックスDX カチCOMIディアマイマスター　～Dom/Sub universe～（下）,ハシモトミツ,726,
14,秋田書店,ボニータ・コミックスP.As.（３）,赤石路代,693,
14,秋田書店,ボニータ・コミックスやじきた学園道中記スピンオフ　星にききたまえ　―Ask The Stars―（２）,市東亮子,693,
20,秋田書店,チャンピオンREDコミックス湘南らーめんガール（２）,森永まさと,726,
20,秋田書店,チャンピオンREDコミックスどろろと百鬼丸伝（８）,手塚治虫／士貴智志,726,
20,秋田書店,チャンピオンREDコミックスニンジャスレイヤー　キョート・ヘル・オン・アース（12）,ブラッドレー・ボンド＋フィリップ・Ｎ・モーゼズ／余湖裕輝ほか,726,
20,秋田書店,チャンピオンREDコミックス聖闘士星矢EPISODE.G レクイエム（５）,車田正美／岡田芽武,957,
20,秋田書店,チャンピオンREDコミックスはるかリセット（９）,野上武志,726,
20,秋田書店,チャンピオンREDコミックス科学的に存在しうるクリーチャー娘の観察日誌（12）,ＫＡＫＥＲＵ,726,
20,秋田書店,チャンピオンREDコミックス織津江大志の異世界クリ娘サバイバル日誌（６）,ＫＡＫＥＲＵ／瀬口たかひろ,726,
20,秋田書店,チャンピオンREDコミックス妖怪犯科帳～嫁は猫又～（１）,神楽坂淳／朱ひゐろ,726,
20,秋田書店,チャンピオンREDコミックスこじらせ転生魔王と7人のおしかけ乙女のラグナロク・システム（１）,サイトウケンジ／ＧＵＮＰ,726,
20,秋田書店,ヤングチャンピオン・コミックスじゃあ、君の代わりに殺そうか？（７）,蔵人幸明／榊原宗々,693,
20,秋田書店,ヤングチャンピオン・コミックスぱンすと。（14）,岡田和人,726,
20,秋田書店,ヤングチャンピオン・コミックス明日クビになりそう（５）,サレンダー橋本,792,
20,秋田書店,ヤングチャンピオン・コミックス惨家（３）,井上三太,792,
20,秋田書店,ヤングチャンピオン・コミックス公道ウルフ（９）,野口賢,726,
20,秋田書店,ヤングチャンピオン・コミックス大阪MADファミリー（９）,信長アキラ,726,
20,秋田書店,ヤングチャンピオン・コミックスクロスオーバーレブ！（９）,山口かつみ,726,
20,秋田書店,ヤングチャンピオン・コミックスオーバーレブ！90’s ―音速の美少女たち―（４）,山口かつみ,726,
20,秋田書店,ヤングチャンピオン・コミックスチカーノKEI ～米国極悪刑務所を生き抜いた日本人～（13）,ＫＥＩ／マサシ,726,
20,秋田書店,ヤングチャンピオン・コミックス日本を創った男～渋沢栄一　青き日々～（６）,星野泰視,693,
20,秋田書店,ヤングチャンピオン・コミックスなみだめし（２）,九十九森／六月柿光,726,
20,秋田書店,ヤングチャンピオン・コミックス悠優の追放魔法使いと幼なじみな森の女神様。　～王都では最弱認定の緑魔法ですが、故郷の農村に帰ると万能でした～（１）,Ｋａｅｄｅ７／岳印ほか,770,
20,秋田書店,ヤングチャンピオン・コミックスモブから始まる探索英雄譚（２）,海翔／てりてりおほか,726,
20,秋田書店,ヤングチャンピオン・コミックス凍牌　コールドガール（４）,志名坂高次,726,
