出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,8,少年チャンピオン・コミックス,姫島くん、あと20センチ！（１）,ゆいち恭,528,
秋田書店,8,少年チャンピオン・コミックス,ジーニアース（４）,押切蓮介,528,
秋田書店,8,少年チャンピオン・コミックス,魔入りました！入間くん（28）,西修,528,
秋田書店,8,少年チャンピオン・コミックス,魔界の主役は我々だ！（10）,津田沼篤／西修ほか,528,
秋田書店,8,少年チャンピオン・コミックス,SHY（15）,実樹ぶきみ,528,
秋田書店,8,少年チャンピオン・コミックス,クワトロバッテリー（８）,高嶋栄充,528,
秋田書店,8,少年チャンピオン・コミックス,ヤンキーJKクズハナちゃん（12）,宗我部としのり,528,
秋田書店,8,少年チャンピオン・コミックス,蟻の王（15）,塚脇永久／伊藤龍,528,
秋田書店,8,少年チャンピオン・コミックス,僕の心のヤバイやつ（７）,桜井のりお,528,
秋田書店,8,少年チャンピオン・コミックス,ハリガネサービス外伝ヒュドラブレイク（２）,荒達哉,528,
秋田書店,8,少年チャンピオン・コミックス,ハリガネサービスACE（18）,荒達哉,528,
秋田書店,8,少年チャンピオン・コミックス,弱虫ペダル（79）,渡辺航,528,
秋田書店,8,少年チャンピオン・コミックス,ノー・レセプション　～電波の無い国～（４・完）,ＫＭＤ／オクショウほか,792,
秋田書店,8,少年チャンピオン・コミックス,八月のシンデレラナインS（３）,Ａｋａｔｓｕｋｉ／星野倖一郎,693,
秋田書店,8,少年チャンピオン・コミックス,不死と罰（２）,佐藤健太郎,693,
秋田書店,8,少年チャンピオン・コミックス,Diego！！　～神と呼ばれた男の新たなる挑戦～（２）,灰谷音屋,693,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,新装版　範馬刃牙（19）,板垣恵介,880,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,新装版　範馬刃牙（20）,板垣恵介,880,
秋田書店,8,少年チャンピオン・コミックス・エクストラ　もっと！,ヤコとポコ（７・完）,水沢悦子,748,
秋田書店,16,A.L.C.DX,マダム、完全犯罪はお好きでしょう？（１）,石井まゆみ,748,
秋田書店,16,A.L.C.DX,凪のお暇（10）,コナリミサト,748,
秋田書店,16,プリンセス・コミックス,ケルン市警オド（６）,青池保子,528,
秋田書店,16,プリンセス・コミックス,魔王陛下のお掃除係（７）,我鳥彩子／梶山ミカ,660,
秋田書店,16,プリンセス・コミックス,僕らの千年と君が死ぬまでの30日間（１）,ｎａｋｅｄ　ａｐｅ／僕らの千年プロジェクト,660,
秋田書店,16,プリンセス・コミックス,新装版　スケバン刑事（９）,和田慎二,1250,
秋田書店,16,プリンセス・コミックス,新装版　スケバン刑事（10）,和田慎二,1080,
秋田書店,16,ボニータ・コミックス,クジラの子らは砂上に歌う（22）,梅田阿比,528,
秋田書店,16,ボニータ・コミックス,朽ちかけ龍の契約者（１）,みどりわたる,660,
