KADOKAWA,6,ヴァンプコミックス,セックス＆ダンジョン！！（８）,佐原玄清／ミンカンスキーほか,未定,
講談社,9,KCデラックス,ギルティサークル（５）,山本やみー／門馬司,715,
講談社,9,講談社コミックス,Gate of Nightmares（２）,真島ヒロ／スクウェア・エニックスほか,528,
講談社,15,マガジンエッジKC,絶対聖域のチェリオン（３）,川田暁生,715,
講談社,16,講談社コミックス,女神のカフェテラス（７）,瀬尾公治,528,
講談社,16,講談社コミックス,甘神さんちの縁結び（７）,内藤マーシー,528,
講談社,16,講談社コミックス,彼女、お借りします（28）,宮島礼吏,528,
集英社,2,ジャンプコミックス,魔都精兵のスレイブ（11）,タカヒロ／竹村洋平,484,
集英社,2,ジャンプコミックス,あやかしトライアングル（10）,矢吹健太朗,484,
集英社,2,ジャンプコミックス,終末のハーレム（16）,ＬＩＮＫ／宵野コタロー,693,
集英社,2,ヤングジャンプコミックス,終末のハーレム　ファンタジア（11）,ＬＩＮＫ／ＳＡＶＡＮ,693,
集英社,16,ヤングジャンプコミックス,私のHな履歴書みてください（８）,春輝,660,
集英社,16,ヤングジャンプコミックス,キングダム（66）,原泰久,660,
スクウェア・エニックス,22,ガンガンコミックスJOKER,賭ケグルイ（16）,河本ほむら／尚村透,680,
スクウェア・エニックス,22,ガンガンコミックスJOKER,賭ケグルイ双（13）,河本ほむら／斎木桂,680,
