20,秋田書店,ヤングチャンピオン烈コミックス性食鬼（18）,稲光伸二,715,
4,KADOKAWA,角川コミックス・エースFate/stay night [Heaven’s Feel]（10）,タスクオーナ／ＴＹＰＥ－ＭＯＯＮ,726,
6,講談社,アフタヌーンKCぐらんぶる（20）,井上堅二／吉岡公威,748,
7,講談社,講談社コミックスFAIRY TAIL 100 YEARS QUEST（14）,真島ヒロ／上田敦夫,528,
17,講談社,講談社コミックスEDENS ZERO（26）,真島ヒロ,528,
17,講談社,講談社コミックス女神のカフェテラス（10）,瀬尾公治,528,
20,講談社,ヤンマガKCスペシャルタダでは抱かれません（４）,檜原フキ,726,
4,集英社,ジャンプコミックスチェンソーマン（14）,藤本タツキ,528,
4,集英社,ヤングジャンプコミックス終末のハーレム　ファンタジア（13）,ＬＩＮＫ／ＳＡＶＡＮ,748,
4,集英社,愛蔵版コミックスONE PIECE 尾田栄一郎画集　DRAGON COLOR WALK（10）,尾田栄一郎／（株）キャラメルママ,2970,
18,集英社,ヤングジャンプコミックス制裁学園（５）,栗原正尚,748,
18,集英社,ヤングジャンプコミックスキングダム（68）,原泰久,715,
12,小学館,裏少年サンデーコミックス出会って5秒でバトル（22）,はらわたさいぞう／みやこかしわ,715,
