出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,8,少年チャンピオン・コミックス,ルパン三世　異世界の姫君（４）,モンキー・パンチ／エム・ピー・ワークス／内々けやきほか,528,
秋田書店,8,少年チャンピオン・コミックス,あっぱれ！浦安鉄筋家族（14）,浜岡賢次,528,
秋田書店,8,少年チャンピオン・コミックス,ヤンキーJKクズハナちゃん（13）,宗我部としのり,528,
秋田書店,8,少年チャンピオン・コミックス,ハリガネサービスACE（19）,荒達哉,528,
秋田書店,8,少年チャンピオン・コミックス,あつまれ！ふしぎ研究部（15）,安部真弘,528,
秋田書店,8,少年チャンピオン・コミックス,桃源暗鬼（12）,漆原侑来,528,
秋田書店,8,少年チャンピオン・コミックス,GranFamilia（２）,濱田賢治,528,
秋田書店,8,少年チャンピオン・コミックス,弱虫ペダル（81）,渡辺航,528,
秋田書店,8,少年チャンピオン・コミックス,声がだせない少女は「彼女が優しすぎる」と思っている（９）,矢村いち,693,
秋田書店,8,少年チャンピオン・コミックス,ババンババンバンバンパイア（３）,奥嶋ひろまさ,693,
秋田書店,8,少年チャンピオン・コミックス,バキ外伝　烈海王は異世界転生しても一向にかまわんッッ（６）,板垣恵介／猪原賽ほか,693,
秋田書店,8,少年チャンピオン・コミックス,腹ペコ聖女とまんぷく魔女の異世界スローライフ！（２）,蛙田アメコ／冬野なべほか,693,
秋田書店,8,少年チャンピオン・コミックス,百魔の主　異世界で魔王チートは最強かもしれません（３）,葵大和／ぐーのほか,693,
秋田書店,8,少年チャンピオン・コミックス,うちの弟子がいつのまにか人類最強になっていて、なんの才能もない師匠の俺が、それを超える宇宙最強に誤認定されている件について（２）,アキライズン／内々けやきほか,693,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,WORST外伝　グリコ（19）,髙橋ヒロシ／鈴木リュータ,693,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,WORST外伝　ドクロ（11）,髙橋ヒロシ／きだまさし,693,
秋田書店,10,ヤングチャンピオン・コミックス,悪役令嬢の兄に転生しました（２）,内河弘児／よしまつめつほか,693,
秋田書店,16,A.L.C.DX,ナースのチカラ　～私たちにできること　訪問看護物語～（９）,広田奈都美,825,
秋田書店,16,A.L.C.DX,いつかのいつか（３）,六多いくみ,693,
秋田書店,16,A.L.C.DX,いのちの器（89）,上原きみ子,650,
秋田書店,16,A.L.C.DX,加賀谷次長、狙われてます！（５）,小山田容子,748,
秋田書店,16,MIU恋愛MAXCOMICS,空までイっちゃう　～CAは絶倫パイロットの腕の中～　フライト3,吉沢りょう,748,
秋田書店,16,プリンセス・コミックス,亡国のマルグリット（10）,すもももも,660,
秋田書店,16,プリンセス・コミックス,妖精国の騎士　Ballad ～継ぐ視の守護者～（４）,中山星香,660,
秋田書店,16,プリンセス・コミックス,十三歳の誕生日、皇后になりました。（４）,石田リンネ／青井みと,660,
秋田書店,16,プリンセス・コミックス,Re：スケバン刑事（３）,和田慎二／福井あしび,660,
秋田書店,16,プリンセス・コミックス　プチプリ,偽装結婚のススメ　～溺愛彼氏とすれちがい～（７）,雨宮榮子,660,
秋田書店,16,プリンセス・コミックスDX カチCOMI,俺たちビジネス番やってます！（２）,木上マリカ,748,
秋田書店,16,ボニータ・コミックス,やじきた学園道中記スピンオフ　星にききたまえ　―Ask The Stars―（１）,市東亮子,660,
秋田書店,18,チャンピオンREDコミックス,ニンジャスレイヤー　キョート・ヘル・オン・アース（11）,ブラッドレー・ボンド＋フィリップ・Ｎ・モーゼズ／余湖裕輝ほか,693,
秋田書店,18,チャンピオンREDコミックス,サイボーグ009 BGOOPARTS DELETE（５・完）,岡崎つぐお／石ノ森章太郎,693,
秋田書店,18,チャンピオンREDコミックス,絢爛たるグランドセーヌ（21）,Ｃｕｖｉｅ,693,
秋田書店,18,チャンピオンREDコミックス,魔王の娘、すごくチョロい。（４）,千明太郎,693,
秋田書店,18,ヤングチャンピオン・コミックス,信長を殺した男～日輪のデマルカシオン～（３）,藤堂裕／明智憲三郎,693,
秋田書店,18,ヤングチャンピオン・コミックス,ぱンすと。（13）,岡田和人,693,
秋田書店,18,ヤングチャンピオン・コミックス,ドリーム☆ドランカーズ～ヤクザと魔法の杖～（２）,齊藤万丈,693,
秋田書店,18,ヤングチャンピオン・コミックス,デメキン（31）,佐田正樹／ゆうはじめ,693,
秋田書店,18,ヤングチャンピオン・コミックス,若気の至りまくり、夏。（３）,葉月京,660,
秋田書店,18,ヤングチャンピオン・コミックス,失恋したのでVtuberはじめたら年上のお姉さんにモテました（２）,二兎凛／凛愛,715,
秋田書店,18,ヤングチャンピオン・コミックス,凍牌（３）　コールドガール,志名坂高次,693,
秋田書店,18,ヤングチャンピオン・コミックス,偽聖女と虐げられた公爵令嬢は二度目の人生は復讐に生きる（１）,てんてんどんどん／まぶた単,693,
秋田書店,18,ヤングチャンピオン・コミックス,林檎転生（１）　～禁断の果実は今日もコロコロと無双する～,ガトー／るしかほか,693,
秋田書店,18,ヤングチャンピオン・コミックス,もしも徳川家康が総理大臣になったら（１）　ー絶東のアルゴナウタイー,眞邊明人／藤村緋二,693,
秋田書店,18,ヤングチャンピオン・コミックス,史上最高の天才錬金術師はそろそろ引退したい（１）,御子柴奈々／御波シンヤほか,693,
秋田書店,18,ヤングチャンピオン・コミックス,明日の敵と今日の握手を（１）,カルロ・ゼン／フクダイクミ,715,
秋田書店,18,ヤングチャンピオン烈コミックス,青の島とねこ一匹（７）,小林俊彦,693,
KADOKAWA,1,B’s-LOG COMICS,獣上司に実は認められていた話（２）,しろいぬ,未定,
KADOKAWA,1,B’s-LOG COMICS,厄災の申し子と聖女の迷宮（２）,松本蜜柑／ひるのあかりほか,未定,
KADOKAWA,1,B’s-LOG COMICS,草魔法師クロエの二度目の人生　自由になって子ドラゴンとレベルMAX薬師ライフ（１）,狩野アユミ／小田ヒロほか,未定,
KADOKAWA,1,B’s-LOG COMICS,家から追い出された私は、隣国のお抱え錬金術師として、幸せな第二の人生を送る事にしました！（１）,ななしののん／アルトほか,未定,
KADOKAWA,1,B’s-LOG COMICS,底辺な僕らの事情（１）,コダマナオコ,未定,
KADOKAWA,1,B’s-LOG COMICS,転生先が少女漫画の白豚令嬢だった　reBoooot！（４）,條／桜あげはほか,未定,
KADOKAWA,1,あすかコミックスCL-DX,The Red Thread（２）,晴山日々子／Ｌａｚｙｓｈｅｅｐ,814,
KADOKAWA,4,角川コミックス・エース,ブスに花束を。（12）,作楽ロク,未定,
KADOKAWA,4,角川コミックス・エース,魔女と騎士は生きのこる（２）,近本大／新川権兵衛,未定,
KADOKAWA,4,角川コミックス・エース,この本を盗む者は（２）,深緑野分／空カケル,未定,
KADOKAWA,4,角川コミックス・エース,地獄くらやみ花もなき（７）,路生よる／藤堂流風,未定,
KADOKAWA,4,角川コミックス・エース,察知されない最強職（４）,三上康明／田中インサイダーほか,未定,
KADOKAWA,5,ヴァンプコミックス,淫靡な洞窟のその奥で（２）,あび／ウメ種ほか,未定,
KADOKAWA,5,フロース　コミック,捨てられた皇妃（９）,ｉＮＡ／Ｙｕｎａ,1034,
KADOKAWA,5,フロース　コミック,宮廷医の娘（３）,ヒロサキ／冬馬倫ほか,715,
KADOKAWA,5,フロース　コミック,転生令嬢はご隠居生活を送りたい！　王太子殿下との婚約はご遠慮させていただきたく（１）,冨月一乃／雨宮れんほか,未定,
KADOKAWA,7,BRIDGE COMICS,無駄に幸せになるのをやめて、こたつでアイス食べます（１）,カンナギユタカ／コイル,未定,
KADOKAWA,7,単行本コミックス,「刀剣乱舞-ONLINE-」アンソロジーコミック『4コマらんぶっ　伍』,「刀剣乱舞－ＯＮＬＩＮＥ－」より　（ＤＭＭ　ＧＡＭＥＳ／Ｎｉｔｒｏｐｌｕｓ）,未定,
KADOKAWA,7,単行本コミックス,修羅の国のアイディール～DOGENGERS 99 Years Later～（１）,悪の秘密結社／内藤ユウスケほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,天獄で悪魔がボクを魅惑する（１）,銀河味めてお,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,#バズゲーム,景山愁／高橋右手,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,どうやら私の身体は完全無敵のようですね（９）,さばねこ／ちゃつふさほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,商社マンの異世界サバイバル（４）　～絶対人とはつるまねえ～,五條さやか／餡乃雲ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,この素晴らしい世界に祝福を！（16）,渡真仁／三嶋くろねほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,異世界でスキルを解体したらチートな嫁が増殖しました　概念交差のストラクチャー（10）,カタセミナミ／千月さかきほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,メスガキのいる喫茶店（２）,ＭＩＧＣＨＩＰ,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,異種族レビュアーズ（８）,天原／ｍａｓｈａ,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,ダークサモナーとデキている（１）,車王,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,金色の文字使い（18）　―勇者四人に巻き込まれたユニークチート―,尾崎祐介／十本スイほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,ようこそ『追放者ギルド』へ　～無能なSランクパーティがどんどん有能な冒険者を追放するので、最弱を集めて最強ギルドを創ります～（２）,荒木佑輔／メソポ・たみあほか,未定,
KADOKAWA,10,角川コミックス・エース,創造錬金術師は自由を謳歌する　故郷を追放されたら、魔王のお膝元で超絶効果のマジックアイテム作り放題になりました（２）,千月さかき／姫乃タカほか,未定,
KADOKAWA,10,角川コミックス・エース,悪役令嬢？　いいえ、極悪令嬢ですわ（５）,斯波浅人／浅名ゆうなほか,未定,
KADOKAWA,10,角川コミックス・エース,麗子の風儀　悪役令嬢と呼ばれていますが、ただの貧乏娘です（３）,ｏｔａｋｕｍｉ／ベキオほか,704,
KADOKAWA,10,角川コミックス・エース,最強出涸らし皇子の暗躍帝位争い（５）,天海雪乃／タンバほか,未定,
KADOKAWA,10,角川コミックス・エース,ケンランバンカラ（１）,岡叶／夏目純白,未定,
KADOKAWA,10,角川コミックス・エース,私より強い男と結婚したいの（１）　清楚な美人生徒会長（実は元番長）の秘密を知る陰キャ（実は彼女を超える最強のヤンキー）,由伊大輔／高橋びすいほか,未定,
KADOKAWA,10,角川コミックス・エース,宇宙戦艦ヤマトNEXT スターブレイザーズΛ（４）,吾嬬竜孝／西崎義展ほか,未定,
KADOKAWA,10,角川コミックス・エース,宇宙戦艦ヤマトNEXT スターブレイザーズΛ（５）,吾嬬竜孝／西崎義展ほか,未定,
KADOKAWA,10,角川コミックス・エース,悪役令嬢のデレは俺だけにバレている（１）,Ｃｒｏｓｉｓ／松尾葉月,未定,
KADOKAWA,10,電撃コミックスNEXT,ソードアート・オンライン　キス・アンド・フライ（２）,川原礫／べっこうリコほか,未定,
KADOKAWA,11,ビームコミックス,あなたがわたしにくれたもの,岡藤真依,未定,
KADOKAWA,15,B’s-LOVEY COMICS,ミオくんは飼い慣らされている,梅渋ちうこ,未定,
KADOKAWA,15,ハルタコミックス,ヴラド・ドラクラ（６）,大窪晶与,未定,
KADOKAWA,15,ハルタコミックス,ハルタ　2022-NOVEMBER volume 99,ハルタ編集部,未定,
KADOKAWA,15,ハルタコミックス,シャッター街のさくら姫（２）,宮本伶美,未定,
KADOKAWA,15,ハルタコミックス,大科学少女（下）,渋谷圭一郎,748,
KADOKAWA,15,ハルタコミックス,クラスのアイドルは今日も推せない,荒木美咲,未定,
KADOKAWA,15,ハルタコミックス,ようこそにんげん　しりもと作品選集（１）,しりもと,未定,
KADOKAWA,15,ハルタコミックス,お金の神様　しりもと作品選集（２）,しりもと,未定,
KADOKAWA,15,単行本コミックス,雨降り晴れて花ひかる（１）,大沢やよい,未定,
KADOKAWA,15,単行本コミックス,作りたい女と食べたい女（３）,ゆざきさかおみ,未定,
KADOKAWA,15,単行本コミックス,恋と呼ぶには青すぎる（１）,真くん,未定,
