出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,8,少年チャンピオン・コミックスチキン　「ドロップ」前夜の物語（37）,井口達也／歳脇将幸,528,
秋田書店,8,少年チャンピオン・コミックス魔入りました！入間くん（30）,西修,528,
秋田書店,8,少年チャンピオン・コミックス魔界の主役は我々だ！（12）,津田沼篤／西修ほか,528,
秋田書店,8,少年チャンピオン・コミックスクワトロバッテリー（９）,高嶋栄充,528,
秋田書店,8,少年チャンピオン・コミックスSANDA（６）,板垣巴留,528,
秋田書店,8,少年チャンピオン・コミックス吸血鬼すぐ死ぬ（23）,盆ノ木至,528,
秋田書店,8,少年チャンピオン・コミックスダーウィンズゲーム（27）,ＦＬＩＰＦＬＯＰｓ,528,
秋田書店,8,少年チャンピオン・コミックスナインピークス　NINE PEAKS（２）,平川哲弘,528,
秋田書店,8,少年チャンピオン・コミックス擬態人A（３）,渡辺アカ,693,
秋田書店,8,少年チャンピオン・コミックスメイカさんは押しころせない（10）,佐藤ショーキ,693,
秋田書店,8,少年チャンピオン・コミックスやくならマグカップも　こみからいず！（２・完）,梶原おさむ,792,
秋田書店,8,少年チャンピオン・コミックスAIの遺電子　Blue Age（５）,山田胡瓜,693,
秋田書店,8,少年チャンピオン・コミックス死亡フラグに気をつけろ！（３・完）,茶んた,660,
秋田書店,8,少年チャンピオン・コミックス逆異世界転生してキモヲタになってしまった大魔術師デルレイ・カーチスの不条理な日常（３・完）,糸杉柾宏,693,
秋田書店,8,少年チャンピオン・コミックスそれでも君を幸せにしたい（３・完）,野呂俊介／ときゎ,693,
秋田書店,8,少年チャンピオン・コミックスDiego！！　～神と呼ばれた男の新たなる挑戦～（４・完）,灰谷音屋,693,
秋田書店,8,吸血鬼すぐ死ぬ　公式ファンブック　週刊バンパイアハンター特別増刊号（２）,盆ノ木至／週刊少年チャンピオン編集部,1320,
秋田書店,15,A.L.C.DXあの山越えて　日・日・天のたより（５）,夢路行,770,
秋田書店,15,A.L.C.DX酒と恋には酔って然るべき（９）,はるこ,748,
秋田書店,15,MIU恋愛MAXCOMICS教えて♡旦那サマ♡♡（14）,草薙竜樹,528,
秋田書店,15,MIU恋愛MAXCOMICSプライベート・ドクター　Season8,花田祐実,528,
秋田書店,15,プリンセス・コミックス嘘よみと偽飾の王女（５）,小田原みづえ,660,
秋田書店,15,プリンセス・コミックス　プチプリ愛人・失格　～嘘をもう一つだけ～（５）,仲垣友恵,792,
秋田書店,15,プリンセス・コミックス　プチプリ陽だまりシェアハウス（４）,小島美帆子,700,
秋田書店,15,プリンセス・コミックスDX カチCOMIアンダーグラウンドベイビーズ,ａｋａｂｅｋｏ,748,
秋田書店,15,ボニータ・コミックスエイラと外つ国の王（７）,びっけ,660,
秋田書店,15,ボニータ・コミックスぼんくら陰陽師の鬼嫁（６）,秋田みやび／遠野由来子,660,
秋田書店,15,ボニータ・コミックス70年目の告白　～毒とペン～（３・完）,高階良子,990,
秋田書店,15,ボニータ・コミックスこの一杯は天使の取り分（１）,糸井のぞ,660,
秋田書店,20,チャンピオンREDコミックスはるかリセット（７）,野上武志,693,
秋田書店,20,チャンピオンREDコミックスサエイズム（12）,内水融,792,
秋田書店,20,チャンピオンREDコミックスおうちビールを100倍おいしくする方法（２）,あいろんぱん,693,
秋田書店,20,チャンピオンREDコミックス大巨蟲列島（９）,藤見泰高／廣瀬周,660,
秋田書店,20,ヤングチャンピオン・コミックス巨蟲山脈（４）,藤見泰高／さざなみ陽輔,693,
秋田書店,20,ヤングチャンピオン・コミックス公道ウルフ（８）,野口賢,660,
秋田書店,20,ヤングチャンピオン・コミックス我にチートを　～ハズレチートの召喚勇者は異世界でゆっくり暮らしたい～（６）,温泉卵／山田モジ美,660,
秋田書店,20,ヤングチャンピオン・コミックスジャンク・ランク・ファミリー（12）,髙橋ヒロシ,693,
秋田書店,20,ヤングチャンピオン・コミックスバブル～チカーノKEI歌舞伎町血闘編～（４）,ＫＥＩ／今村ＫＳＫ,693,
秋田書店,20,ヤングチャンピオン・コミックスBまで恋はAiまかせ…（３・完）,ｏｋａｍａ,693,
秋田書店,20,ヤングチャンピオン・コミックス隣のお姉さんが好き（２）,藤近小梅,693,
秋田書店,20,ヤングチャンピオン・コミックス明日の敵と今日の握手を（２）,カルロ・ゼン／フクダイクミ,693,
秋田書店,20,ヤングチャンピオン・コミックス【洗濯】のダンジョン無双　～「クソスキルの無能が！」と追放されたスキル【洗濯】の俺だけど、このスキルは控えめに言って『最強』でした。綺麗な『天使』と可愛い『異端竜』と共に、俺は夢を叶えます～（１）,夕／篠田ますく,715,
秋田書店,20,ヤングチャンピオン・コミックスクラス≪無職≫の英雄譚　～公爵家を追放されたが、実は殴っただけでスキルを獲得できるとわかり、大陸一の英雄に上り詰める～（１）,アメカワ・リーチ／Ｓａｌａｈ－Ｄ,715,
秋田書店,20,ヤングチャンピオン烈コミックスいきたいわん！　台湾旅行同好会（３・完）,ハヤシ,693,
KADOKAWA,1,B’s-LOG COMICS虐げられし令嬢は、世界樹の主になりました（３）,永倉早／桜井悠ほか,770,
KADOKAWA,1,B’s-LOG COMICSわが家は祇園の拝み屋さん（５）,蒼崎律／望月麻衣ほか,737,
KADOKAWA,1,B’s-LOG COMICS本物の方の勇者様が捨てられていたので私が貰ってもいいですか？（２）,トモエキコ／花果唯ほか,737,
KADOKAWA,1,B’s-LOG COMICS異世界もふもふカフェ（３）,高岡ゆう／ぷにちゃんほか,737,
KADOKAWA,1,B’s-LOG COMICSサイレント・ウィッチ　沈黙の魔女の隠しごと（２）,桟とび／依空まつりほか,737,
KADOKAWA,1,B’s-LOG COMICS私、アイドル宣言（３）,ＨｏｎｅｙＷｏｒｋｓ／モゲラッタ,未定,
KADOKAWA,1,B’s-LOG COMICSお弁当売りは聖女様！　～異世界娘のあったかレシピ～（２）,宮尾にゅん／紫水ゆきこほか,737,
KADOKAWA,1,B’s-LOG COMICS／なんちゃってシンデレラ　王宮陰謀編異世界で、王太子妃はじめました。（６）,武村ゆみこ／汐邑雛,737,
KADOKAWA,1,あすかコミックスCL-DXさみしい上司のかまい方,春野アヒル,726,
KADOKAWA,1,あすかコミックスCL-DX黒か白か（９）,さちも,726,
KADOKAWA,1,あすかコミックスCL-DX上司が俺を好きなハズがない,水名瀬雅良,726,
KADOKAWA,1,あすかコミックスCL-DXオオカミさんは甘やかしたい,杉原マチコ,726,
KADOKAWA,2,ヒューコミックス瀧夜叉姫　陰陽師絵草子（４）,伊藤勢／夢枕獏,748,
KADOKAWA,2,ヒューコミックスELDEN RING 黄金樹への道（１）,飛田ニキイチ／ＥＬＤＥＮ　ＲＩＮＧ（株式会社フロム・ソフトウェア）,715,
KADOKAWA,2,ヒューコミックス文豪ナツメは料理人が嫌い（１）,松本渚／久部緑郎ほか,715,
KADOKAWA,2,ヒューコミックス桃太郎殺し太郎（２）,成瀬乙彦,748,
KADOKAWA,2,角川コミックス・エースTRUMP（３）,末満健一／はまぐり,704,
KADOKAWA,2,角川コミックス・エースくだんのピストル　参,大塚英志／山崎峰水,未定,
KADOKAWA,2,角川コミックス・エース六人の嘘つきな大学生【プラス1】（１）,浅倉秋成／大沢形画ほか,704,
KADOKAWA,2,角川コミックス・エース帰ってください！　阿久津さん（６）,長岡太一,704,
KADOKAWA,2,角川コミックス・エースライバーダイバーラバー（１）,鹿島初,704,
KADOKAWA,5,フロース　コミック臆病な伯爵令嬢は揉め事を望まない（４）,小箱ハコ／白猫ほか,715,
KADOKAWA,5,フロース　コミック捨てられた皇妃（９）,ｉＮＡ／Ｙｕｎａ,1034,
KADOKAWA,5,フロース　コミック後宮の夜叉姫（４）,奥山エリー／仁科裕貴ほか,715,
KADOKAWA,5,フロース　コミック死に戻りの魔法学校生活を、元恋人とプロローグから（２）　（※ただし好感度はゼロ）,白川蟻ん／六つ花えいこほか,715,
KADOKAWA,5,フロース　コミック異世界の皇妃（７）,ＨＡＳＨ／ＶＩＳＣＡＣＨＡ,1034,
KADOKAWA,5,フロース　コミック彼女が公爵邸に行った理由（８）,Ｗｈａｌｅ／Ｍｉｌｃｈａ,1034,
KADOKAWA,5,フロース　コミック私はご都合主義な解決担当の王女である（５）,米田和佐／まめちょろほか,715,
KADOKAWA,5,フロース　コミック悪役令嬢の怠惰な溜め息（５）,ほしの総明／篠原皐月ほか,715,
KADOKAWA,6,ヴァンプコミックス幼馴染は闇堕ち聖女！（１）,ショーソン／きー子ほか,715,
KADOKAWA,8,BRIDGE COMICS永田町小町バトル（１）,荻野目かおる／西條奈加,未定,
KADOKAWA,8,BRIDGE COMICS私、都合のいい女でいいです。（２）,霰屋こん,726,
KADOKAWA,8,BRIDGE COMICS警視庁アウトサイダー（１）,平原明／加藤実秋,未定,
KADOKAWA,8,BRIDGE COMICS残蝕街区（１）,慎結,未定,
KADOKAWA,8,BRIDGE COMICS土田と花岡（２）,みずひら,未定,
KADOKAWA,8,BRIDGE COMICSJK漱石（１）,香日ゆら,未定,
KADOKAWA,8,BRIDGE COMICSコワい話は≠くだけで。（１）,景山五月／梨,726,
KADOKAWA,8,BRIDGE COMICS流星茶房物語（１）,美中／羽倉せいほか,726,
KADOKAWA,8,単行本コミックスBanG Dream！　ガルパ☆ピコ　コミックアンソロジー（４）,ブシロード／ＢａｎＧ　Ｄｒｅａｍ！ガルパ☆ピコより,1100,
KADOKAWA,8,単行本コミックス聖戦勇戯～魔王が死んで100年後～（１）,榊一郎／ＩｓＩＩ,880,
KADOKAWA,9,ドラゴンコミックスエイジストラテジックラバーズ（４）,三色網戸。,未定,
KADOKAWA,9,ドラゴンコミックスエイジ急に姉ができまして！（２）,緑青黒羽,未定,
KADOKAWA,9,ドラゴンコミックスエイジはぐれ精霊医の診察記録　～聖女騎士団と癒やしの神業～（６）,橘由宇／とーわほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ植物魔法チートでのんびり領主生活始めます（５）　前世の知識を駆使して農業したら、逆転人生始まった件,さんねこ／りょうとかえほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ魔石グルメ（７）　魔物の力を食べたオレは最強！,菅原健二／結城涼ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ幼馴染のS級パーティーから追放された聖獣使い。万能支援魔法と仲間を増やして最強へ！（３）,黒田高祥／かなりつほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ顔に出ない柏田さんと顔に出る太田君（９）,東ふゆ,未定,
KADOKAWA,9,ドラゴンコミックスエイジゲーセン少女と異文化交流（５）,安原宏和,未定,
KADOKAWA,9,ドラゴンコミックスエイジ継母の連れ子が元カノだった（５）,草壁レイ／紙城境介ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジこの勇者が俺TUEEEくせに慎重すぎる（６）,こゆき／土日月ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ僕のカノジョ先生（８）,星河蟹／孟倫（ＳＤｗｉｎｇ）ほか,未定,
KADOKAWA,9,角川コミックス・エーススキルがなければレベルを上げる（５）　～99がカンストの世界でレベル800万からスタート～,岡沢六十四／倉橋ユウス,未定,
KADOKAWA,9,角川コミックス・エース魔王道（１）　―千年前の魔王が復活したら最弱魔物のコボルトだったが、知識経験に衰え無し。神と正義の名の下にやりたい放題している人間共を躾けてやるとしよう,寒天／高岸かも,未定,
KADOKAWA,9,角川コミックス・エース生活魔法はハズレスキルじゃない（１）,きなつｋ／なんじゃもんじゃ,未定,
KADOKAWA,9,角川コミックス・エース破滅のカノジョ（２）,ひろせたくじ,748,
KADOKAWA,9,角川コミックス・エース破滅のカノジョ（３）,ひろせたくじ,748,
KADOKAWA,9,角川コミックス・エース女子高生の無駄づかい（10）,ビーノ,704,
KADOKAWA,9,角川コミックス・エース宇宙とかと比べたらちっぽけな問題ですが（３）,ビーノ,704,
KADOKAWA,9,角川コミックス・エース先輩、美味しいですか？（２）,みかん氏,未定,
KADOKAWA,9,角川コミックス・エース少女たちの痕にくちづけを（２）,春花あや,704,
KADOKAWA,9,角川コミックス・エース艦隊これくしょん　―艦これ―　海色のアルトサックス（３）,柚木ガオ／「艦これ」運営鎮守府ほか,未定,
KADOKAWA,9,単行本コミックスFate/stay night［Unlimited Blade Works］（２）,森山大輔／ＴＹＰＥ－ＭＯＯＮ,737,
KADOKAWA,9,電撃コミックスNEXT勇者刑に処す（１）　懲罰勇者9004隊刑務記録,井上菜摘／ロケット商会ほか,737,
KADOKAWA,9,電撃コミックスNEXT人脈チートで始める人任せ英雄譚（１）,坂石遊作／元鷲多義ほか,737,
KADOKAWA,12,ビームコミックス王様ランキング（15）,十日草輔,759,
KADOKAWA,12,ビームコミックスドラッグストア店員さっちゃんの日常,依澄れい,814,
KADOKAWA,12,ビームコミックスみちみち,わだちず,814,
KADOKAWA,12,ビームコミックスEVOL （イーヴォー・５）,カネコアツシ,836,
KADOKAWA,15,B’s-LOVEY COMICS不完全オメガは運命を知る,畑野かぼ,770,
KADOKAWA,15,ハルタハルタ　2022-DECEMBER volume 100,ハルタ編集部,未定,
KADOKAWA,15,ハルタコミックス煙と蜜　第四集,長蔵ヒロコ,未定,
KADOKAWA,15,ハルタコミックス壱の蔵　長蔵ヒロコ作品集,長蔵ヒロコ,未定,
KADOKAWA,15,ハルタコミックス生き残った6人によると（４）,山本和音,未定,
KADOKAWA,15,ハルタコミックスジラソウル　―ゴッホの遥かなる道―（１）,沼野あおい,未定,
KADOKAWA,15,ハルタコミックススパイゲームA.D.1600（１）,加藤清志,未定,
KADOKAWA,15,ハルタコミックスキラキラとギラギラ（１）,嵐田佐和子,未定,
KADOKAWA,16,MFCだるい野球部はサボりたい　背番号よりオフをくれ！（１）,奥嶋ひろまさ／松井尚斗,未定,
KADOKAWA,16,MFCエンプレスエイジ　～闇社会の主役は我々だ！～（１）,せらみかる／ゾム,未定,
KADOKAWA,16,MFCまいぜんシスターズの冒険　～物ノ怪神社とたまゆらの姫～（１）,芥邉雨龍／土田健太ほか,未定,
KADOKAWA,16,MFCひろゆき、異世界でも論破で無双します（１）,高菜八期／はたしま卯月ほか,未定,
