出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,8,少年チャンピオン・コミックス,気絶勇者と暗殺姫（3）,のりしろちゃん／雪田幸路,550,
秋田書店,8,少年チャンピオン・コミックス,チキン 「ドロップ」前夜の物語（39）,井口達也／歳脇将幸,550,
秋田書店,8,少年チャンピオン・コミックス,ルパン三世 異世界の姫君（8）,モンキー・パンチ／エム・ピー・ワークス／内々けやきほか,550,
秋田書店,8,少年チャンピオン・コミックス,BLUE DOT（1）,堀翔一,550,
秋田書店,8,少年チャンピオン・コミックス,SHY（20）,実樹ぶきみ,550,
秋田書店,8,少年チャンピオン・コミックス,クワトロバッテリー（11）,高嶋栄充,550,
秋田書店,8,少年チャンピオン・コミックス,ハリガネサービスACE（23）,荒達哉,550,
秋田書店,8,少年チャンピオン・コミックス,あつまれ！ふしぎ研究部（17）,安部真弘,550,
秋田書店,8,少年チャンピオン・コミックス,桃源暗鬼（16）,漆原侑来,561,
秋田書店,8,少年チャンピオン・コミックス,弱虫ペダル（85）,渡辺航,572,
秋田書店,8,少年チャンピオン・コミックス,天災狩り（4）（完）,荒井春太郎,550,
秋田書店,8,少年チャンピオン・コミックス,サイコ×パスト 猟奇殺人潜入捜査（5）,本田真吾,726,
秋田書店,8,少年チャンピオン・コミックス,八月のシンデレラナインS（5）（完）,Akatsuki／星野倖一郎,726,
秋田書店,8,少年チャンピオン・コミックス,潮が舞い子が舞い（10）（完）,阿部共実,693,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,アルマジロのジョン from 吸血鬼すぐ死ぬ（3）,盆ノ木至,1045,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,あの子のおっぱいからどうにも目がはなせないアンソロジーコミック（6）,月刊少年チャンピオン編集部,770,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,WORST外伝 グリコ（23）,髙橋ヒロシ／鈴木リュータ,748,
秋田書店,16,A.L.C.DX,やも男と女形（2）（完）,会田薫,748,
秋田書店,16,A.L.C.DX,サチのお寺ごはん（13）（完）,かねもりあやみ／久住昌之ほか,748,
秋田書店,16,A.L.C.DX,酒と恋には酔って然るべき（10）,はるこ,748,
秋田書店,16,A.L.C.DX,木曜日のシェフレラ スクールカウンセラー五加木純架（2）,大澄剛,748,
秋田書店,16,MIU恋愛MAXCOMICS,教えて♡旦那サマ♡♡（15）,草薙竜樹,550,
秋田書店,16,MIU恋愛MAXCOMICS,セクシー（元）極道 ～豹変義弟に押し倒されました～（2）（完）,西臣匡子,748,
秋田書店,16,プリンセス・コミックス,魔王陛下のお掃除係（9）,我鳥彩子／梶山ミカ,693,
秋田書店,16,プリンセス・コミックス,僕らの千年と君が死ぬまでの30日間（4）,naked ape／僕らの千年プロジェクト,693,
秋田書店,16,ボニータ・コミックス,魔女の箱庭（1）,紫堂恭子,693,
秋田書店,16,ボニータ・コミックス,海が走るエンドロール（5）,たらちねジョン,693,
秋田書店,18,チャンピオンREDコミックス,絢爛たるグランドセーヌ（23）,Cuvie,726,
秋田書店,18,チャンピオンREDコミックス,DEAD Tube～デッドチューブ～（22）,山口ミコト／北河トウタ,726,
秋田書店,18,チャンピオンREDコミックス,ドルフィン（15）,岩橋健一郎／所十三,726,
秋田書店,18,チャンピオンREDコミックス,はるかリセット（11）,野上武志,726,
秋田書店,18,チャンピオンREDコミックス,サエイズム（13）,内水融,792,
秋田書店,18,チャンピオンREDコミックス,黄金バット 大正髑髏奇譚（1）,神楽坂淳／山根和俊ほか,726,
秋田書店,18,ヤングチャンピオン・コミックス,優駿の門 ムンク（4）,やまさき拓味,990,
秋田書店,18,ヤングチャンピオン・コミックス,公道ウルフ（10）,野口賢,726,
秋田書店,18,ヤングチャンピオン・コミックス,あさこ（7）（完）,よしだもろへ,715,
秋田書店,18,ヤングチャンピオン・コミックス,性食鬼 Aliens Meet Girls（5）,稲光伸二／RustySoulほか,693,
秋田書店,18,ヤングチャンピオン・コミックス,浪人生とエロい奴（1）,じょろり,693,
秋田書店,18,ヤングチャンピオン・コミックス,若気の至りまくり、夏。（4）,葉月京,660,
秋田書店,18,ヤングチャンピオン・コミックス,去る者は日々に疎し（6）,葉月京／折笠りょこ,726,
