"_receipttimems","_messagetimems","_messagetime","country","detail","fromip","url","_raw","_receipttime","_collector","_size","_source","_sourcecategory","_sourcehost","_sourcename"
"1741587158362","1741587147706","2025/03/10 15:12:27.706 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587147706,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""6cc711ae1aeab87b83e2e49055a2b12a""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""320""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMlf5HahNjMFlJQ="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":320,""requestBodySizeInspectedByWAF"":320}","2025/03/10 15:12:38.362 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587224187","1741587146279","2025/03/10 15:12:26.279 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587146279,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""8d9c8ee310b15bd029f878eed0e56c3f""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""536""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMlfqGMeNjMF-Yg="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":536,""requestBodySizeInspectedByWAF"":536}","2025/03/10 15:13:44.187 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587224185","1741587144591","2025/03/10 15:12:24.591 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587144591,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""50020edafe585f1f300f00837ab0f42a""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""320""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMlfZHNftjMFR0g="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":320,""requestBodySizeInspectedByWAF"":320}","2025/03/10 15:13:44.185 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587224188","1741587143069","2025/03/10 15:12:23.069 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587143069,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""69989c5a681dc11f3c87ba45c57274e3""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""536""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMlfKET5tjMFd-g="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":536,""requestBodySizeInspectedByWAF"":536}","2025/03/10 15:13:44.188 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587224186","1741587141419","2025/03/10 15:12:21.419 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587141419,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""6c9f644ae041dca8c0b07f0d658bf751""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""492""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMle6GkxtjMFVXQ="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":492,""requestBodySizeInspectedByWAF"":492}","2025/03/10 15:13:44.186 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587224186","1741587139272","2025/03/10 15:12:19.272 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587139272,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""dd4571731b328b929f098d91ff2a993b""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""792""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMlekEh-tjMF9Lg="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":792,""requestBodySizeInspectedByWAF"":792}","2025/03/10 15:13:44.186 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587158361","1741587137111","2025/03/10 15:12:17.111 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587137111,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""6e1bffbcac51fad41ec1fdc804ce657a""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""472""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMlePHKONjMFvSQ="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":472,""requestBodySizeInspectedByWAF"":472}","2025/03/10 15:12:38.361 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587158359","1741587135570","2025/03/10 15:12:15.570 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587135570,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""946ffaec06ed45150f48cc8c29b776d4""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""748""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMld_EvZtjMFocA="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":748,""requestBodySizeInspectedByWAF"":748}","2025/03/10 15:12:38.359 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587158358","1741587133971","2025/03/10 15:12:13.971 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587133971,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""01628cdaed55875ce6ed3592f145f942""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""256""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMldvGVttjMF3UA="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":256,""requestBodySizeInspectedByWAF"":256}","2025/03/10 15:12:38.358 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
"1741587158362","1741587131625","2025/03/10 15:12:11.625 +0900","JP","","35.76.47.41","/","{""timestamp"":1741587131625,""formatVersion"":1,""webaclId"":""arn:aws:wafv2:ap-northeast-1:497550502065:regional/webacl/PayTG_WAF-ACL-01/00c2747d-9178-475e-be7c-72a685184410"",""terminatingRuleId"":""Default_Action"",""terminatingRuleType"":""REGULAR"",""action"":""ALLOW"",""terminatingRuleMatchDetails"":[],""httpSourceName"":""APIGW"",""httpSourceId"":""497550502065:y9xu0w846g:paytg-trialgw-apigw"",""ruleGroupList"":[{""ruleGroupId"":""F5#OWASP_Managed"",""terminatingRule"":null,""nonTerminatingMatchingRules"":[],""excludedRules"":null,""customerConfig"":null}],""rateBasedRuleList"":[],""nonTerminatingMatchingRules"":[],""requestHeadersInserted"":null,""responseCodeSent"":null,""httpRequest"":{""clientIp"":""35.76.47.41"",""country"":""JP"",""headers"":[{""name"":""accept"",""value"":""*/*""},{""name"":""iv"",""value"":""4a92c26fd5f9cc6346f133e300e7f99a""},{""name"":""sn"",""value"":""451038852269345""},{""name"":""sver"",""value"":""2000""},{""name"":""chgsn"",""value"":""451038852269345""},{""name"":""content-length"",""value"":""640""},{""name"":""content-type"",""value"":""application/x-www-form-urlencoded""},{""name"":""host"",""value"":""stg-trialgw-v2.paytg.jp""},{""name"":""x-forwarded-for"",""value"":""35.76.47.41""}],""uri"":""/"",""args"":"""",""httpVersion"":""HTTP/1.1"",""httpMethod"":""POST"",""requestId"":""HMldYGDENjMFV-w="",""fragment"":"""",""scheme"":"""",""host"":""""},""labels"":[{""name"":""awswaf:forwardedip:geo:country:JP""},{""name"":""awswaf:forwardedip:geo:region:JP-13""}],""requestBodySize"":640,""requestBodySizeInspectedByWAF"":640}","2025/03/10 15:12:38.362 +0900","PayTG AWS STG","1408","PayTG WAF","AWS/PayTG/WAF","54.95.248.182","Kinesis log Input"
