岸本悠希,100殺島,01,dmm,20220820,
萩原一至,BASTARD!!,01,kindle,20220704,
萩原一至,BASTARD!!,02,kindle,20220704,
萩原一至,BASTARD!!,03,kindle,20160430,
萩原一至,BASTARD!!,04,kindle,20180228,
萩原一至,BASTARD!!,05,kindle,20180228,
池本幹雄,BORUTO,01,kindle,20210223,
池本幹雄,BORUTO,02,kindle,20210223,
池本幹雄,BORUTO,03,kindle,20210223,
池本幹雄,BORUTO,04,kindle,20210223,
池本幹雄,BORUTO,05,kindle,20210223,
池本幹雄,BORUTO,06,kindle,20210223,
真島ヒロ,EDENS-ZERO,18,dmm,20211117,
東まゆみ,EREMENTAR-GERAD,01,dmm,20220919,
東まゆみ,EREMENTAR-GERAD,02,dmm,20220919,
東まゆみ,EREMENTAR-GERAD,03,dmm,20220919,
東まゆみ,EREMENTAR-GERAD,04,dmm,20220919,
東まゆみ,EREMENTAR-GERAD,05,dmm,20220919,
赤坂一夫,EROSサバイバル,06,dmm,20220722,
赤坂一夫,EROSサバイバル,07,dmm,20220722,
赤坂一夫,EROSサバイバル,08,dmm,20220722,
赤坂一夫,EROSサバイバル,09,dmm,20220722,
赤坂一夫,EROSサバイバル,10,dmm,20220722,
赤坂一夫,EROSサバイバル,11,dmm,20220722,
赤坂一夫,EROSサバイバル,12,dmm,20220722,
赤坂一夫,EROSサバイバル,13,dmm,20220722,
赤坂一夫,EROSサバイバル,14,kindle,20210418,
赤坂一夫,EROSサバイバル,15,kindle,20210504,
赤坂一夫,EROSサバイバル,16,dmm,20211001,
赤坂一夫,EROSサバイバル,17,dmm,20211001,
赤坂一夫,EROSサバイバル,18,dmm,20220419,
赤坂一夫,EROSサバイバル,19,dmm,20220920,
カワグチタケシ,Fate-Grand-Order,01,dmm,20220916,
カワグチタケシ,Fate-Grand-Order,02,dmm,20220916,
タスクオーナ,Fate-stay-night-Heaven-s-Feel,01,kindle,20203030,
タスクオーナ,Fate-stay-night-Heaven-s-Feel,09,dmm,20220425,
奥浩哉,GANTZ-カラー版,01,kindle,20161121,
奥浩哉,GANTZ-カラー版,02,kindle,20161122,
流石景,GE,01,dmm,20220826,
流石景,GE,02,dmm,20220826,
流石景,GE,03,dmm,20220826,
李惠成,JKからやり直すシルバープラン,01,dmm,20220901,
岸本斉史,NARUTO-カラー版,01,kindle,20210223,
岸本斉史,NARUTO-カラー版,02,kindle,20210223,
岸本斉史,NARUTO-カラー版,03,kindle,20210223,
岸本斉史,NARUTO-カラー版,04,kindle,20210223,
岸本斉史,NARUTO-カラー版,05,kindle,20210223,
尾田栄一郎,ONE-PIECE,092,kindle,20200209,
尾田栄一郎,ONE-PIECE,093,kindle,20200209,
尾田栄一郎,ONE-PIECE,094,kindle,20191101,
尾田栄一郎,ONE-PIECE,095,kindle,20200204,
尾田栄一郎,ONE-PIECE,096,kindle,20200502,
尾田栄一郎,ONE-PIECE,097,kindle,20201222,
尾田栄一郎,ONE-PIECE,098,kindle,20210304,
尾田栄一郎,ONE-PIECE,099,kindle,20210702,
