Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,H-L,H-PC,L-PC,TR,+DM,-DM,TRn,+DMn,-DMn,+DI,-DI,DX,ADX
2025-12-17 00:00:00+09:00,21900.0,21915.0,21440.0,21520.0,319500,0.0,0.0,475.0,185.0,290.0,475.0,0.0,290.0,8350.0,415.0,2970.0,4.970059880239521,35.568862275449106,75.48005908419498,34.82337544693208
2025-12-18 00:00:00+09:00,21460.0,21890.0,21445.0,21780.0,305000,0.0,0.0,445.0,370.0,75.0,445.0,0.0,0.0,8465.0,385.0,2970.0,4.548139397519196,35.085646780862376,77.04918032786885,40.15095588555185
2025-12-19 00:00:00+09:00,21710.0,21805.0,21025.0,21340.0,655500,0.0,0.0,780.0,25.0,755.0,780.0,0.0,420.0,8485.0,385.0,2630.0,4.537418974661167,30.995875073659402,74.46102819237147,44.17089945773422
2025-12-22 00:00:00+09:00,21445.0,21490.0,21120.0,21310.0,282400,0.0,0.0,370.0,150.0,220.0,370.0,0.0,0.0,8240.0,385.0,2630.0,4.672330097087379,31.917475728155342,74.46102819237149,48.62310307756127
2025-12-23 00:00:00+09:00,21315.0,21880.0,21275.0,21615.0,329400,0.0,0.0,605.0,570.0,35.0,605.0,390.0,0.0,8240.0,775.0,2030.0,9.405339805825243,24.635922330097088,44.741532976827095,49.34157964743103
2025-12-24 00:00:00+09:00,21850.0,21850.0,21245.0,21245.0,240500,0.0,0.0,605.0,235.0,370.0,605.0,0.0,30.0,8430.0,775.0,1870.0,9.193357058125741,22.182680901542113,41.39886578449906,49.70465652677495
2025-12-25 00:00:00+09:00,21550.0,21550.0,21360.0,21455.0,140300,0.0,0.0,190.0,305.0,115.0,305.0,0.0,0.0,8040.0,775.0,1660.0,9.639303482587065,20.64676616915423,36.34496919917864,49.95279629224035
2025-12-26 00:00:00+09:00,21550.0,21875.0,21475.0,21560.0,292600,0.0,0.0,400.0,420.0,20.0,420.0,325.0,0.0,7735.0,875.0,1660.0,11.312217194570136,21.46089204912734,30.966469428007887,50.315616194128275
2025-12-29 00:00:00+09:00,21560.0,21650.0,21190.0,21650.0,285400,0.0,0.0,460.0,90.0,370.0,460.0,0.0,285.0,7550.0,820.0,1945.0,10.860927152317881,25.761589403973513,40.6871609403255,52.56846434545828
2025-12-30 00:00:00+09:00,21715.0,21850.0,21330.0,21330.0,285000,0.0,0.0,520.0,200.0,320.0,520.0,200.0,0.0,7295.0,1020.0,1520.0,13.982179575051404,20.83618917066484,19.68503937007875,52.56553662923103
2026-01-05 00:00:00+09:00,21520.0,21770.0,21365.0,21725.0,369100,0.0,0.0,405.0,440.0,35.0,440.0,0.0,0.0,7005.0,1020.0,1460.0,14.5610278372591,20.842255531763026,17.741935483870968,51.85151312233826
2026-01-06 00:00:00+09:00,21615.0,21925.0,21560.0,21640.0,428700,0.0,0.0,365.0,200.0,165.0,365.0,155.0,0.0,6755.0,1070.0,1460.0,15.840118430792005,21.61361954108068,15.415019762845853,49.31513098054874
2026-01-07 00:00:00+09:00,21210.0,21310.0,20665.0,20800.0,587100,0.0,0.0,645.0,330.0,975.0,975.0,0.0,895.0,7325.0,1070.0,2355.0,14.607508532423207,32.15017064846417,37.51824817518249,47.08093495869013
2026-01-08 00:00:00+09:00,20995.0,21285.0,20920.0,21040.0,445500,0.0,0.0,365.0,485.0,120.0,485.0,0.0,0.0,7250.0,1070.0,1920.0,14.758620689655173,26.482758620689655,28.428093645484946,43.88418789736486
2026-01-09 00:00:00+09:00,21030.0,21420.0,20425.0,21070.0,877300,0.0,0.0,995.0,380.0,615.0,995.0,0.0,495.0,7770.0,1070.0,2125.0,13.77091377091377,27.348777348777347,33.02034428794992,40.8513511262045
2026-01-13 00:00:00+09:00,21560.0,21740.0,21040.0,21300.0,636000,0.0,0.0,700.0,670.0,30.0,700.0,320.0,0.0,8025.0,1390.0,2125.0,17.320872274143305,26.479750778816197,20.91038406827879,36.841437107662344
