ticker,close,rsi,ma5,ma20,volume
fujikura,19530.0,61.64703046326092,18767.0,17933.75,4779000
advantest,27410.0,76.1791882263487,25002.0,22336.0,11687900
ibiden,8070.0,61.60934545859924,8105.0,7574.4,2184100
lasertec,36650.0,57.84574028151181,36992.0,34516.75,3942100
screen,20075.0,74.90166189800652,19671.0,17470.25,1098100
hoya,25175.0,55.73375426266474,25192.0,24928.0,338800
rohm,2695.0,72.86310787604751,2721.8,2484.425,1807600
tel,41860.0,61.235190418384754,42120.0,40060.0,2475100
furukawa,13780.0,73.57725297265539,13174.0,11149.45,3064800
shionogi,3109.0,64.84796685880096,3119.8,2949.175,1293600
chugai,8427.0,52.137415636053625,8592.4,8432.1,783700
enos,1246.5,66.04769460071114,1243.1,1201.85,3155300
mhi,4570.0,56.264543221477425,4542.8,4469.05,18114500
ihi,3641.0,66.9417325225773,3558.0,3353.925,11013900
khi,12965.0,54.183411977629234,12998.0,12836.0,2322900
mitsubishi,4036.0,58.30306894672214,4014.6,3926.1,4630400
mitsui,5009.0,60.868435462190746,5026.0,4961.45,2319400
toyota,3427.0,48.9958961327776,3466.8,3492.3,12442100
nipponsteel,644.5999755859375,48.20578948723614,651.8400024414062,656.0699981689453,9510100
jfeh,2081.5,52.88619940829203,2106.2,2094.6,1438500
mol,4828.0,59.360846282617636,4752.8,4795.35,1832700
kilne,2237.0,55.812771491968576,2209.5,2232.8,2103600
nipponham,6886.0,52.07291703429515,6946.6,6860.05,176400
